domain_id	domain_name
340	Lys-AminoMut_A
341	OEP
342	Toxin_3
343	Apo-CII
344	SBP_bac_1
345	PMI_typeI
346	DUF1968
347	PYC_OADA
348	HMGL-like
349	Abhydrolase_3
350	Nitrophorin
351	Exo_endo_phos
352	Tryp_alpha_amyl
353	Opacity
354	GP41
355	TLV_coat
356	Chloroa_b-bind
357	WAP
358	CDT1
359	MCM
360	IF4E
361	GM_CSF
362	RHD
363	CN_hydrolase
364	Iso_dh
365	Rep_fac-A_C
366	tRNA_anti
367	Rep-A_N
368	GRAS
369	NB-ARC
370	Myc-LZ
371	SH2
372	Rad52_Rad22
373	Arylesterase
374	IL8
375	Gamma-thionin
376	Alk_phosphatase
377	Citrate_synt
378	RNase_HII
379	G6PD_C
380	G6PD_N
381	fn2
382	ANP
383	Glyco_hydro_11
384	SAG
385	Xlink
386	Cpn60_TCP1
387	Cpn10
388	MTHFR
389	2-Hacid_dh
390	2-Hacid_dh_C
391	CBM_5_12
392	F5_F8_type_C
393	HSP20
394	Staphylokinase
395	Corona_nucleoca
396	Enterotoxin_a
397	Lipase3_N
398	Lyase_1
399	SBP_bac_5
400	Glyco_hydro_18
401	IL1
402	Hormone_recep
403	zf-C4
404	Y_phosphatase
405	Rapamycin_bind
406	FKBP_C
407	DNA_pol_lambd_f
408	PPE
409	adh_short
410	Ricin_B_lectin
411	PhoQ_Sensor
412	Rhabdo_glycop
413	DPBB_1
414	Pollen_allerg_1
415	Pollen_allerg_2
416	Gp_dh_N
417	Gp_dh_C
418	CdhD
419	FeS
420	Tubulin_C
421	Tubulin
422	ArfGap
423	Thrombin_light
424	OmpA
425	HR1
426	TIM
427	ADH_N
428	ELFV_dehydrog_N
429	ELFV_dehydrog
430	Acetyltransf_1
431	DSL
432	Thaumatin
433	Cu_amine_oxid
434	DUF1965
435	SdrG_C_C
436	Kazal_2
437	Hepcidin
438	MAP
439	Gram_pos_anchor
440	Cna_B
441	YSIRK_signal
442	Arginase
443	PA14
444	Binary_toxB
445	AChE_tetra
446	Photo_RC
447	Paramyx_RNA_pol
448	Laminin_G_2
449	Collagen
450	PBP_GOBP
451	Chordopox_A33R
452	Calici_coat
453	Na_K-ATPase
454	HLH
455	Myc_N
456	zf-BED
457	hATC
458	Peptidase_S29
459	Ferritin
460	FUR
461	EFG_C
462	GTP_EFTU_D2
463	GTP_EFTU
464	EFG_IV
465	Prokineticin
466	RrnaAD
467	ubiquitin
468	Beta-APP
469	2OG-FeII_Oxy
470	Self-incomp_S1
471	Plasmid_Txe
472	EB_dh
473	ADK
474	MiAMP1
475	Proteasome
476	Proteasome_A_N
477	Cu_bind_like
478	Peptidase_M23
479	NHase_alpha
480	GDA1_CD39
481	EPO_TPO
482	Cytochrom_B_N
483	Toxin_13
484	Endonuclease_NS
485	TRAPP
486	Disintegrin
487	Methyltransf_6
488	Exotox-A_bind
489	Endostatin
490	PAS
491	Cu-oxidase
492	Cu-oxidase_3
493	Cu-oxidase_2
494	Flavi_NS1
495	Casein
496	Phytase
497	Trans_reg_C
498	Sigma54_activat
499	HisKA
500	Torsin
501	C4
