scop_class_id	scop_class	user_id
1	Unknown	2
2	Beta	2
3	Alpha	2
4	Alpha+Beta	2
5	Alpha/Beta	2
6	Small Proteins	2
7	Membrane and cell surface proteins and \npeptides	2
8	Multi-domain proteins (alpha and \nbeta)	2
9	Low resolution protein structures	2
