id	groupid	userid	comment	date_created	proteins	link
69	250	1508	NULL	1251437091	1340,1188,1317,1327,902,1264	/compare.php?comparison=1340,1188,1317,1327,902,1264
70	250	1508	NULL	1251437095	1340,1188,1317,1327,902,1264	/compare.php?comparison=1340,1188,1317,1327,902,1264
71	250	1508	NULL	1251437100	1340,1188,1317,1327,902,1264	/compare.php?comparison=1340,1188,1317,1327,902,1264
72	250	1508	NULL	1251437105	1340,1188,1317,1327,902,1264	/compare.php?comparison=1340,1188,1317,1327,902,1264
73	250	1508	NULL	1251437110	1340,1188,1317,1327,902,1264	/compare.php?comparison=1340,1188,1317,1327,902,1264
74	250	1508	NULL	1251437116	1340,1188,1317,1327,902,1264	/compare.php?comparison=1340,1188,1317,1327,902,1264
75	250	1508	NULL	1251437177	1340,1188,1317,1327,902,1264	/compare.php?comparison=1340,1188,1317,1327,902,1264
76	262	1529	NULL	1252928364	1317,902,688,229,352,1304	/compare.php?comparison=1317,902,688,229,352,1304
77	262	1529	NULL	1252928583	1317,902,688,229,352,1304	/compare.php?comparison=1317,902,688,229,352,1304
78	262	1529	NULL	1252928741	1317,902,688,229,352,1304	/compare.php?comparison=1317,902,688,229,352,1304
79	262	1529	NULL	1252928776	1317,902,688,229,352,1304	/compare.php?comparison=1317,902,688,229,352,1304
80	262	1529	NULL	1252928814	1317,902,688,229,352,1304	/compare.php?comparison=1317,902,688,229,352,1304
81	262	1529	NULL	1252928852	1317,902,688,229,352,1304	/compare.php?comparison=1317,902,688,229,352,1304
82	262	1529	NULL	1252929551	1317,902,688,229,352,1304	/compare.php?comparison=1317,902,688,229,352,1304
83	262	1529	NULL	1252930066	246,210,1342,1269,387,185,98,603,604,391	/compare.php?comparison=246,210,1342,1269,387,185,98,603,604,391
84	268	1534	NULL	1253535659	841	/compare.php?comparison=841
85	262	1529	NULL	1253684927	1317,902,688,229,352,1304	/compare.php?comparison=1317,902,688,229,352,1304
86	262	1529	NULL	1253685869	1317,902,688,229,352,1304	/compare.php?comparison=1317,902,688,229,352,1304
87	262	1529	NULL	1253686486	1317,902,688,229,352,697,699,866,25,620,311,1018,855,1259	/compare.php?comparison=1317,902,688,229,352,697,699,866,25,620,311,1018,855,1259
88	262	1529	NULL	1253686895	1340,1188,1317,1327,902,1195	/compare.php?comparison=1340,1188,1317,1327,902,1195
89	297	1577	NULL	1258965263	450,615,616	/compare.php?comparison=450,615,616
90	304	1597	NULL	1262029045	1174,361,1010,933,936,870,875,869	/compare.php?comparison=1174,361,1010,933,936,870,875,869
91	304	1597	NULL	1262029252	1174,933,936,870,875,869,231,379	/compare.php?comparison=1174,933,936,870,875,869,231,379
